n,m,dims,k,time_dist,time_sort,serial_parallel,distance_function,sort_function
20000,350,2,5,0.238094,1.604139,serial,euclidean,merge
20000,350,2,5,0.043240,0.134555,parallel,euclidean,merge
20000,450,2,5,0.302174,2.146164,serial,euclidean,merge
20000,450,2,5,0.052396,0.182127,parallel,euclidean,merge
25000,50,2,5,0.043179,0.367263,serial,euclidean,merge
25000,50,2,5,0.013115,0.031595,parallel,euclidean,merge
25000,150,2,5,0.125216,0.947137,serial,euclidean,merge
25000,150,2,5,0.023578,0.079444,parallel,euclidean,merge
25000,250,2,5,0.211265,1.537391,serial,euclidean,merge
25000,250,2,5,0.036892,0.113579,parallel,euclidean,merge
25000,350,2,5,0.276059,2.045103,serial,euclidean,merge
25000,350,2,5,0.045561,0.153900,parallel,euclidean,merge
25000,450,2,5,0.365708,2.761805,serial,euclidean,merge
25000,450,2,5,0.067423,0.192350,parallel,euclidean,merge
30000,50,2,5,0.049997,0.444548,serial,euclidean,merge
30000,50,2,5,0.009351,0.043613,parallel,euclidean,merge
30000,150,2,5,0.150512,1.071400,serial,euclidean,merge
30000,150,2,5,0.026376,0.092141,parallel,euclidean,merge
30000,250,2,5,0.233435,1.879746,serial,euclidean,merge
30000,250,2,5,0.036744,0.135471,parallel,euclidean,merge
30000,350,2,5,0.323790,3.047495,serial,euclidean,merge
30000,350,2,5,0.060752,0.189073,parallel,euclidean,merge
30000,450,2,5,0.371121,3.317603,serial,euclidean,merge
30000,450,2,5,0.060295,0.216415,parallel,euclidean,merge
10000,50,2,5,0.008694,0.139747,serial,manhattan,merge
10000,50,2,5,0.004334,0.019368,parallel,manhattan,merge
10000,150,2,5,0.025394,0.361013,serial,manhattan,merge
10000,150,2,5,0.018963,0.032770,parallel,manhattan,merge
10000,250,2,5,0.042154,0.668887,serial,manhattan,merge
10000,250,2,5,0.024983,0.058852,parallel,manhattan,merge
10000,350,2,5,0.061304,0.790021,serial,manhattan,merge
10000,350,2,5,0.025915,0.071746,parallel,manhattan,merge
10000,450,2,5,0.078529,1.083688,serial,manhattan,merge
10000,450,2,5,0.036965,0.098067,parallel,manhattan,merge
15000,50,2,5,0.013023,0.223907,serial,manhattan,merge
15000,50,2,5,0.004399,0.025449,parallel,manhattan,merge
15000,150,2,5,0.037713,0.530752,serial,manhattan,merge
15000,150,2,5,0.012553,0.048558,parallel,manhattan,merge
15000,250,2,5,0.063302,0.957026,serial,manhattan,merge
15000,250,2,5,0.023374,0.074788,parallel,manhattan,merge
15000,350,2,5,0.093740,1.277983,serial,manhattan,merge
15000,350,2,5,0.035290,0.091726,parallel,manhattan,merge
15000,450,2,5,0.112748,1.859085,serial,manhattan,merge
15000,450,2,5,0.038192,0.123242,parallel,manhattan,merge
20000,50,2,5,0.016768,0.261517,serial,manhattan,merge
20000,50,2,5,0.007510,0.038659,parallel,manhattan,merge
20000,150,2,5,0.050338,0.805618,serial,manhattan,merge
20000,150,2,5,0.029015,0.060829,parallel,manhattan,merge
20000,250,2,5,0.084877,1.180322,serial,manhattan,merge
20000,250,2,5,0.028854,0.105298,parallel,manhattan,merge
20000,350,2,5,0.119868,2.043069,serial,manhattan,merge
20000,350,2,5,0.041874,0.134220,parallel,manhattan,merge
20000,450,2,5,0.157104,2.291757,serial,manhattan,merge
20000,450,2,5,0.098314,0.159528,parallel,manhattan,merge
25000,50,2,5,0.021967,0.335401,serial,manhattan,merge
25000,50,2,5,0.007100,0.032365,parallel,manhattan,merge
25000,150,2,5,0.048360,0.868713,serial,manhattan,merge
25000,150,2,5,0.023544,0.077617,parallel,manhattan,merge
25000,250,2,5,0.106704,1.563334,serial,manhattan,merge
25000,250,2,5,0.030370,0.109149,parallel,manhattan,merge
25000,350,2,5,0.152153,2.072768,serial,manhattan,merge
25000,350,2,5,0.039335,0.156348,parallel,manhattan,merge
25000,450,2,5,0.189966,3.095942,serial,manhattan,merge
